store,friendly name,city,state,zip,address,
2229,Lock Haven,Mill Hall,PA,17751,284 Hogan Blvd,
2230,N. Bentonville,Bentonville,AR,72712,1100 N.W. Lowes Ave,
2231,Cedar Rapids,Cedar Rapids,IA,52402,5300 Blairs Forest Blvd N.E.,
2232,S. Dekalb-lithonia,Lithonia,GA,30038,5375 Fairington Rd,
2233,Stony Brook,Stony Brook,NY,11790,2150 Nesconset Highway,
2234,Leesville,Leesville,LA,71446,2200 Mcrae St,
2235,Decatur,Decatur,TX,76234,1201 West U.S. Highway 380 Business,
2236,Mountain Home,Mountain Home,AR,72653,124 Charles Blackburn Dr,
2237,Memphis,Memphis,TN,38122,585 North Perkins Rd,
2238,Lutz,Lutz,FL,33549,21500 State Rd 54,
2239,S. Knoxville,Knoxville,TN,37920,7520 Mountain Grove Dr,
2240,Lake Wales,Lake Wales,FL,33859,23227 U.S. Highway 27,
2241,Palm Coast,Palm Coast,FL,32164,315 Cypress Edge Dr,
2244,Columbia,Elkridge,MD,21075,8281 Gateway Overlook Dr,
2245,N.E. Louisville,Louisville,KY,40241,4930 Norton Healthcare Blvd,
2246,S. Parkersburg,Parkersburg,WV,26101,2 Walton Dr,
2247,Bethel Park,Bethel Park,PA,15102,5775 Baptist Rd,
2248,Seaford,Seaford,DE,19973,22880 Sussex Highway,
2249,Clarkstown,Nanuet,NY,10954,100 Overlook Blvd,
2250,Potsdam,Potsdam,NY,13676,61 Country Ln,
2251,Daphne,Daphne,AL,36526,29645 Frederick Blvd,
2252,Stroudsburg,Bartonsville,PA,18321,5027 Windsor Dr,
2253,N. Lakeland,Lakeland,FL,33809,3600 North Rd 98,
2254,Hialeah,Hialeah,FL,33012,1650 West 37th St,
2255,W. Jefferson,W. Jefferson,NC,28694,158 Lowe's Dr,
2256,Surf City,Hampstead,NC,28443,106 Wilkes Ln,
2257,Sylva,Sylva,NC,28779,1716 East Main St,
2258,Newark,Newark,DE,19711,2000 Ogletown Rd,
2260,Manahawkin,Manahawkin,NJ,8050,297 Route 72 West Suite 30
2261,S. Naples,Naples,FL,34113,12730 Tamiami Trail East,
2263,Waterford,Waterford,CT,6385,167 Waterford Pkwy North,
2265,Augusta,Augusta,ME,4330,53 Crossing Way,
2267,Quincy,Quincy,MA,2169,599 Thomas Burgin Pkwy,
2268,W. Torrance,Torrance,CA,90505,2700 Skypark Dr,
2270,Ontario,Ontario,CA,91761,2390 South Grove Ave,
2271,Las Vegas,Las Vegas,NV,89119,5825 South Eastern Ave,
2272,Casa Grande,Casa Grande,AZ,85122,1436 East Florence Blvd,
2273,Dublin,Dublin,CA,94568,3750 Dublin Blvd,
2274,Castle Rock,Castle Rock,CO,80108,1360 New Beale St,
2275,Salt Lake City,Salt Lake City,UT,84115,1335 South 300 West,
2277,Helena,Helena,MT,59602,3291 North Sanders St,
2278,Porterville,Porterville,CA,93257,500 West Vandalia Ave,
2279,Sonora,Sonora,CA,95370,120 Old Wards Ferry Rd,
2280,C. Dallas,Dallas,TX,75209,6011 Lemmon Ave,
2282,E. Brandon,Brandon,FL,33511,1515 East Brandon Blvd,
2284,Brooklyn - Kings Plaza,Brooklyn,NY,11234,5602 Ave U,
2288,Wallingford,Wallingford,CT,6492,1094 North Colony Rd,
2289,Oneida,Oneida,NY,13421,1200 Lowe's Dr,
2291,Brewer,Brewer,ME,4412,15 Arista Dr,
2293,Lehi,Lehi,UT,84043,242 North 1200 East,
2294,Menifee,Menifee,CA,92584,30472 Haun Rd,
2295,Buckeye,Buckeye,AZ,85326,700 South Watson Rd,
2296,Riverton,Riverton City,UT,84065,12462 S. Creek Meadow Rd,
2299,Bridgeton,Bridgeton,MO,63044,11974 Paul Mayer Ave,
2300,S. St. Louis,Saint Louis,MO,63111,932 Loughborough Ave,
2301,Chicago - 83rd And Stewart,Chicago,IL,60620,8411 South Holland Rd,
2302,Belleville,Belleville,IL,62221,2501 Greenmount Commons,
